nohup: ignoring input
mnist_cnn.py:26: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  label = np.fromstring(flbl.read(), dtype=np.int8)
mnist_cnn.py:29: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  image = np.fromstring(fimg.read(), dtype=np.uint8).reshape(len(label), rows, cols)
INFO:root:Epoch[1] Batch [135]	Speed: 96.47 samples/sec	accuracy=0.923000
INFO:root:Epoch[1] Batch [140]	Speed: 97.35 samples/sec	accuracy=0.941000
INFO:root:Epoch[1] Batch [145]	Speed: 96.40 samples/sec	accuracy=0.924000
INFO:root:Epoch[1] Batch [150]	Speed: 94.07 samples/sec	accuracy=0.935000
INFO:root:Epoch[1] Batch [155]	Speed: 94.66 samples/sec	accuracy=0.924000
INFO:root:Epoch[1] Batch [160]	Speed: 97.35 samples/sec	accuracy=0.888000
INFO:root:Epoch[1] Batch [165]	Speed: 96.23 samples/sec	accuracy=0.874000
INFO:root:Epoch[1] Batch [170]	Speed: 96.47 samples/sec	accuracy=0.854000
INFO:root:Epoch[1] Batch [175]	Speed: 95.67 samples/sec	accuracy=0.868000
INFO:root:Epoch[1] Batch [180]	Speed: 96.74 samples/sec	accuracy=0.850000
INFO:root:Epoch[1] Batch [185]	Speed: 97.86 samples/sec	accuracy=0.848000
INFO:root:Epoch[1] Batch [190]	Speed: 97.07 samples/sec	accuracy=0.870000
INFO:root:Epoch[1] Batch [195]	Speed: 96.91 samples/sec	accuracy=0.879000
INFO:root:Epoch[1] Batch [200]	Speed: 98.66 samples/sec	accuracy=0.887000
INFO:root:Epoch[1] Batch [205]	Speed: 94.21 samples/sec	accuracy=0.894000
INFO:root:Epoch[1] Batch [210]	Speed: 95.74 samples/sec	accuracy=0.872000
INFO:root:Epoch[1] Batch [215]	Speed: 97.59 samples/sec	accuracy=0.910000
