HNodes, LRate, Epochs, Error, Diff, STime, ETime
20 , 0.01 , 13 , 0.9322 , 0:31:12.073666 , 2018-03-18 03:09:03.475513 , 2018-03-18 03:40:15.549179
20 , 0.1 , 3 , 0.9142 , 0:07:23.334077 , 2018-03-18 03:40:17.961196 , 2018-03-18 03:47:41.295273
20 , 0.1 , 5 , 0.9274 , 0:12:10.284229 , 2018-03-18 03:47:43.583461 , 2018-03-18 03:59:53.867690
20 , 0.1 , 8 , 0.9225 , 0:19:33.027175 , 2018-03-18 03:59:56.156528 , 2018-03-18 04:19:29.183703
20 , 0.1 , 13 , 0.9314 , 0:31:11.387779 , 2018-03-18 04:19:31.471392 , 2018-03-18 04:50:42.859171
50 , 0.001 , 3 , 0.8831 , 0:09:59.172109 , 2018-03-18 04:50:45.104957 , 2018-03-18 05:00:44.277066
50 , 0.001 , 5 , 0.8981 , 0:16:36.160864 , 2018-03-18 05:00:46.523511 , 2018-03-18 05:17:22.684375
50 , 0.001 , 8 , 0.9126 , 0:25:39.553997 , 2018-03-18 05:17:24.976131 , 2018-03-18 05:43:04.530128
50 , 0.001 , 13 , 0.921 , 0:42:09.850999 , 2018-03-18 05:43:06.777936 , 2018-03-18 06:25:16.628935
50 , 0.01 , 3 , 0.9347 , 0:10:06.033043 , 2018-03-18 06:25:18.921756 , 2018-03-18 06:35:24.954799
50 , 0.01 , 5 , 0.945 , 0:16:45.650886 , 2018-03-18 06:35:27.280843 , 2018-03-18 06:52:12.931729
50 , 0.01 , 8 , 0.9491 , 0:25:51.168551 , 2018-03-18 06:52:15.301510 , 2018-03-18 07:18:06.470061
50 , 0.01 , 13 , 0.9564 , 0:41:54.186006 , 2018-03-18 07:18:08.758205 , 2018-03-18 08:00:02.944211
50 , 0.1 , 3 , 0.9561 , 0:10:01.000617 , 2018-03-18 08:00:05.393846 , 2018-03-18 08:10:06.394463
50 , 0.1 , 5 , 0.9541 , 0:16:32.607826 , 2018-03-18 08:10:08.682085 , 2018-03-18 08:26:41.289911
50 , 0.1 , 8 , 0.9562 , 0:25:49.612291 , 2018-03-18 08:26:43.540449 , 2018-03-18 08:52:33.152740
50 , 0.1 , 13 , 0.9525 , 0:42:12.842368 , 2018-03-18 08:52:35.440559 , 2018-03-18 09:34:48.282927
100 , 0.001 , 3 , 0.8841 , 0:13:52.881600 , 2018-03-18 09:34:50.656050 , 2018-03-18 09:48:43.537650
100 , 0.001 , 5 , 0.9006 , 0:21:32.909726 , 2018-03-18 09:48:45.867972 , 2018-03-18 10:10:18.777698
100 , 0.001 , 8 , 0.9134 , 0:36:16.076879 , 2018-03-18 10:10:19.066820 , 2018-03-18 10:46:35.143699
100 , 0.001 , 13 , 0.9272 , 0:59:45.129021 , 2018-03-18 10:46:37.431954 , 2018-03-18 11:46:22.560975
100 , 0.01 , 3 , 0.9381 , 0:13:51.623995 , 2018-03-18 11:46:24.807966 , 2018-03-18 12:00:16.431961
100 , 0.01 , 5 , 0.9513 , 0:21:15.384308 , 2018-03-18 12:00:18.726723 , 2018-03-18 12:21:34.111031
100 , 0.01 , 8 , 0.9593 , 0:36:18.788335 , 2018-03-18 12:21:36.444237 , 2018-03-18 12:57:55.232572
100 , 0.01 , 13 , 0.9663 , 0:58:43.549551 , 2018-03-18 12:57:57.535233 , 2018-03-18 13:56:41.084784
100 , 0.1 , 3 , 0.9656 , 0:12:29.720383 , 2018-03-18 13:56:43.375335 , 2018-03-18 14:09:13.095718
100 , 0.1 , 5 , 0.9663 , 0:23:05.984941 , 2018-03-18 14:09:15.340408 , 2018-03-18 14:32:21.325349
100 , 0.1 , 8 , 0.9659 , 0:36:40.771195 , 2018-03-18 14:32:23.780871 , 2018-03-18 15:09:04.552066
100 , 0.1 , 13 , 0.9611 , 0:57:44.777556 , 2018-03-18 15:09:06.924403 , 2018-03-18 16:06:51.701959
5 , 0.001 , 3 , 0.3784 , 0:06:10.693953 , 2018-03-18 16:06:54.110842 , 2018-03-18 16:13:04.804795
5 , 0.001 , 5 , 0.3657 , 0:10:12.932225 , 2018-03-18 16:13:07.092875 , 2018-03-18 16:23:20.025100
5 , 0.001 , 8 , 0.4927 , 0:16:36.496565 , 2018-03-18 16:23:22.480234 , 2018-03-18 16:39:58.976799
5 , 0.001 , 13 , 0.4643 , 0:26:03.561050 , 2018-03-18 16:40:01.351148 , 2018-03-18 17:06:04.912198
5 , 0.01 , 3 , 0.6275 , 0:06:16.853162 , 2018-03-18 17:06:07.320075 , 2018-03-18 17:12:24.173237
5 , 0.01 , 5 , 0.6147 , 0:10:09.645225 , 2018-03-18 17:12:26.502382 , 2018-03-18 17:22:36.147607
5 , 0.01 , 8 , 0.7053 , 0:16:35.187818 , 2018-03-18 17:22:38.482402 , 2018-03-18 17:39:13.670220
5 , 0.01 , 13 , 0.7174 , 0:25:01.853665 , 2018-03-18 17:39:16.078385 , 2018-03-18 18:04:17.932050
5 , 0.1 , 3 , 0.8105 , 0:06:09.500504 , 2018-03-18 18:04:20.303188 , 2018-03-18 18:10:29.803692
5 , 0.1 , 5 , 0.7513 , 0:10:30.965785 , 2018-03-18 18:10:32.055244 , 2018-03-18 18:21:03.021029
5 , 0.1 , 8 , 0.7631 , 0:16:17.422730 , 2018-03-18 18:21:05.349427 , 2018-03-18 18:37:22.772157
5 , 0.1 , 13 , 0.8134 , 0:26:09.993684 , 2018-03-18 18:37:25.019561 , 2018-03-18 19:03:35.013245
10 , 0.001 , 3 , 0.6705 , 0:06:34.683571 , 2018-03-18 19:03:37.347630 , 2018-03-18 19:10:12.031201
10 , 0.001 , 5 , 0.7676 , 0:10:54.308965 , 2018-03-18 19:10:14.442738 , 2018-03-18 19:21:08.751703
10 , 0.001 , 8 , 0.7985 , 0:16:57.020535 , 2018-03-18 19:21:11.159973 , 2018-03-18 19:38:08.180508
10 , 0.001 , 13 , 0.8715 , 0:26:04.980479 , 2018-03-18 19:38:10.552432 , 2018-03-18 20:04:15.532911
10 , 0.01 , 3 , 0.88 , 0:06:35.561885 , 2018-03-18 20:04:18.067280 , 2018-03-18 20:10:53.629165
10 , 0.01 , 5 , 0.8718 , 0:10:52.412656 , 2018-03-18 20:10:55.920173 , 2018-03-18 20:21:48.332829
10 , 0.01 , 8 , 0.8818 , 0:17:08.493773 , 2018-03-18 20:21:50.662207 , 2018-03-18 20:38:59.155980
10 , 0.01 , 13 , 0.9044 , 0:27:38.712954 , 2018-03-18 20:39:01.623262 , 2018-03-18 21:06:40.336216
10 , 0.1 , 3 , 0.882 , 0:06:35.878913 , 2018-03-18 21:06:42.660624 , 2018-03-18 21:13:18.539537
10 , 0.1 , 5 , 0.8916 , 0:10:44.732862 , 2018-03-18 21:13:20.786239 , 2018-03-18 21:24:05.519101
10 , 0.1 , 8 , 0.9004 , 0:17:05.176467 , 2018-03-18 21:24:07.811854 , 2018-03-18 21:41:12.988321
10 , 0.1 , 13 , 0.8777 , 0:26:15.909750 , 2018-03-18 21:41:15.398993 , 2018-03-18 22:07:31.308743
20 , 0.001 , 3 , 0.8592 , 0:04:17.630806 , 2018-03-18 22:07:33.639921 , 2018-03-18 22:11:51.270727
20 , 0.001 , 5 , 0.8744 , 0:12:17.071281 , 2018-03-18 22:11:53.521253 , 2018-03-18 22:24:10.592534
20 , 0.001 , 8 , 0.8897 , 0:19:07.635394 , 2018-03-18 22:24:12.966985 , 2018-03-18 22:43:20.602379
20 , 0.001 , 13 , 0.9044 , 0:30:45.417698 , 2018-03-18 22:43:23.051387 , 2018-03-18 23:14:08.469085
20 , 0.01 , 3 , 0.9171 , 0:07:26.796389 , 2018-03-18 23:14:10.801000 , 2018-03-18 23:21:37.597389
20 , 0.01 , 5 , 0.9216 , 0:12:22.503709 , 2018-03-18 23:21:39.968081 , 2018-03-18 23:34:02.471790
20 , 0.01 , 8 , 0.9292 , 0:19:22.352757 , 2018-03-18 23:34:04.885215 , 2018-03-18 23:53:27.237972
20 , 0.01 , 13 , 0.9301 , 0:31:10.618881 , 2018-03-18 23:53:29.606501 , 2018-03-19 00:24:40.225382
20 , 0.1 , 3 , 0.9284 , 0:07:27.021578 , 2018-03-19 00:24:42.514260 , 2018-03-19 00:32:09.535838
20 , 0.1 , 5 , 0.9296 , 0:12:18.089328 , 2018-03-19 00:32:11.907733 , 2018-03-19 00:44:29.997061
20 , 0.1 , 8 , 0.9081 , 0:19:34.935484 , 2018-03-19 00:44:32.283431 , 2018-03-19 01:04:07.218915
20 , 0.1 , 13 , 0.9365 , 0:28:29.265268 , 2018-03-19 01:04:09.712872 , 2018-03-19 01:32:38.978140
50 , 0.001 , 3 , 0.8827 , 0:10:01.952895 , 2018-03-19 01:32:41.306656 , 2018-03-19 01:42:43.259551
50 , 0.001 , 5 , 0.9006 , 0:16:14.157268 , 2018-03-19 01:42:45.548411 , 2018-03-19 01:58:59.705679
50 , 0.001 , 8 , 0.9086 , 0:26:33.863505 , 2018-03-19 01:59:02.160057 , 2018-03-19 02:25:36.023562
50 , 0.001 , 13 , 0.9198 , 0:42:37.289238 , 2018-03-19 02:25:38.350306 , 2018-03-19 03:08:15.639544
50 , 0.01 , 3 , 0.934 , 0:10:09.262408 , 2018-03-19 03:08:17.882478 , 2018-03-19 03:18:27.144886
50 , 0.01 , 5 , 0.9416 , 0:16:23.104414 , 2018-03-19 03:18:29.433771 , 2018-03-19 03:34:52.538185
50 , 0.01 , 8 , 0.9518 , 0:26:19.436437 , 2018-03-19 03:34:54.787835 , 2018-03-19 04:01:14.224272
50 , 0.01 , 13 , 0.9602 , 0:42:48.648054 , 2018-03-19 04:01:16.512573 , 2018-03-19 04:44:05.160627
50 , 0.1 , 3 , 0.9551 , 0:10:00.286618 , 2018-03-19 04:44:07.614216 , 2018-03-19 04:54:07.900834
50 , 0.1 , 5 , 0.9553 , 0:16:33.984745 , 2018-03-19 04:54:10.269398 , 2018-03-19 05:10:44.254143
50 , 0.1 , 8 , 0.9539 , 0:26:14.549139 , 2018-03-19 05:10:46.502131 , 2018-03-19 05:37:01.051270
50 , 0.1 , 13 , 0.9562 , 0:42:40.582577 , 2018-03-19 05:37:03.429690 , 2018-03-19 06:19:44.012267
100 , 0.001 , 3 , 0.8834 , 0:14:00.157900 , 2018-03-19 06:19:46.385743 , 2018-03-19 06:33:46.543643
100 , 0.001 , 5 , 0.9009 , 0:23:15.815399 , 2018-03-19 06:33:48.833979 , 2018-03-19 06:57:04.649378
100 , 0.001 , 8 , 0.9126 , 0:36:29.906699 , 2018-03-19 06:57:07.103975 , 2018-03-19 07:33:37.010674
100 , 0.001 , 13 , 0.9246 , 0:58:47.932424 , 2018-03-19 07:33:39.300486 , 2018-03-19 08:32:27.232910
100 , 0.01 , 3 , 0.9399 , 0:12:23.626294 , 2018-03-19 08:32:29.689495 , 2018-03-19 08:44:53.315789
100 , 0.01 , 5 , 0.952 , 0:22:57.709471 , 2018-03-19 08:44:55.608351 , 2018-03-19 09:07:53.317822
100 , 0.01 , 8 , 0.9609 , 0:36:22.256132 , 2018-03-19 09:07:55.728502 , 2018-03-19 09:44:17.984634
100 , 0.01 , 13 , 0.9662 , 0:58:42.984529 , 2018-03-19 09:44:20.275199 , 2018-03-19 10:43:03.259728
100 , 0.1 , 3 , 0.9637 , 0:12:22.472240 , 2018-03-19 10:43:05.594184 , 2018-03-19 10:55:28.066424
100 , 0.1 , 5 , 0.9641 , 0:23:01.059046 , 2018-03-19 10:55:30.395779 , 2018-03-19 11:18:31.454825
100 , 0.1 , 8 , 0.9652 , 0:36:17.112119 , 2018-03-19 11:18:33.785977 , 2018-03-19 11:54:50.898096
100 , 0.1 , 13 , 0.9654 , 0:57:01.105069 , 2018-03-19 11:54:53.190403 , 2018-03-19 12:51:54.295472
5 , 0.001 , 3 , 0.5079 , 0:06:19.196854 , 2018-03-19 12:51:56.585545 , 2018-03-19 12:58:15.782399
5 , 0.001 , 5 , 0.4614 , 0:10:14.116095 , 2018-03-19 12:58:18.112878 , 2018-03-19 13:08:32.228973
5 , 0.001 , 8 , 0.5942 , 0:15:56.735668 , 2018-03-19 13:08:34.556591 , 2018-03-19 13:24:31.292259
5 , 0.001 , 13 , 0.6076 , 0:26:03.634335 , 2018-03-19 13:24:33.545436 , 2018-03-19 13:50:37.179771
5 , 0.01 , 3 , 0.5698 , 0:06:15.037492 , 2018-03-19 13:50:39.553387 , 2018-03-19 13:56:54.590879
5 , 0.01 , 5 , 0.4097 , 0:10:09.476545 , 2018-03-19 13:56:56.964657 , 2018-03-19 14:07:06.441202
5 , 0.01 , 8 , 0.4917 , 0:15:53.496551 , 2018-03-19 14:07:08.774256 , 2018-03-19 14:23:02.270807
5 , 0.01 , 13 , 0.8251 , 0:24:22.286950 , 2018-03-19 14:23:04.679621 , 2018-03-19 14:47:26.966571
5 , 0.1 , 3 , 0.7714 , 0:06:08.995804 , 2018-03-19 14:47:29.296706 , 2018-03-19 14:53:38.292510
5 , 0.1 , 5 , 0.7577 , 0:10:12.942979 , 2018-03-19 14:53:40.622996 , 2018-03-19 15:03:53.565975
5 , 0.1 , 8 , 0.5418 , 0:16:04.855594 , 2018-03-19 15:03:55.815042 , 2018-03-19 15:20:00.670636
5 , 0.1 , 13 , 0.7709 , 0:26:05.566981 , 2018-03-19 15:20:03.092495 , 2018-03-19 15:46:08.659476
10 , 0.001 , 3 , 0.73 , 0:06:40.142206 , 2018-03-19 15:46:10.949412 , 2018-03-19 15:52:51.091618
10 , 0.001 , 5 , 0.5931 , 0:10:56.957091 , 2018-03-19 15:52:53.421238 , 2018-03-19 16:03:50.378329
10 , 0.001 , 8 , 0.8652 , 0:16:52.804500 , 2018-03-19 16:03:52.748622 , 2018-03-19 16:20:45.553122
10 , 0.001 , 13 , 0.8783 , 0:26:17.783255 , 2018-03-19 16:20:47.799344 , 2018-03-19 16:47:05.582599
10 , 0.01 , 3 , 0.8775 , 0:06:37.386908 , 2018-03-19 16:47:07.916449 , 2018-03-19 16:53:45.303357
10 , 0.01 , 5 , 0.8634 , 0:10:51.602421 , 2018-03-19 16:53:47.636352 , 2018-03-19 17:04:39.238773
10 , 0.01 , 8 , 0.885 , 0:16:59.005242 , 2018-03-19 17:04:41.609163 , 2018-03-19 17:21:40.614405
10 , 0.01 , 13 , 0.9027 , 0:27:20.661537 , 2018-03-19 17:21:42.902335 , 2018-03-19 17:49:03.563872
10 , 0.1 , 3 , 0.8813 , 0:06:36.990949 , 2018-03-19 17:49:06.017265 , 2018-03-19 17:55:43.008214
10 , 0.1 , 5 , 0.8906 , 0:10:46.649483 , 2018-03-19 17:55:45.304509 , 2018-03-19 18:06:31.953992
10 , 0.1 , 8 , 0.8928 , 0:16:50.299127 , 2018-03-19 18:06:34.243488 , 2018-03-19 18:23:24.542615
10 , 0.1 , 13 , 0.8906 , 0:25:52.926229 , 2018-03-19 18:23:26.911940 , 2018-03-19 18:49:19.838169
20 , 0.001 , 3 , 0.8495 , 0:07:25.402427 , 2018-03-19 18:49:22.250866 , 2018-03-19 18:56:47.653293
20 , 0.001 , 5 , 0.8855 , 0:12:09.607864 , 2018-03-19 18:56:50.026935 , 2018-03-19 19:08:59.634799
20 , 0.001 , 8 , 0.8999 , 0:19:39.245044 , 2018-03-19 19:09:02.073499 , 2018-03-19 19:28:41.318543
20 , 0.001 , 13 , 0.9079 , 0:31:05.756464 , 2018-03-19 19:28:43.689279 , 2018-03-19 19:59:49.445743
20 , 0.01 , 3 , 0.9153 , 0:07:29.084406 , 2018-03-19 19:59:51.818283 , 2018-03-19 20:07:20.902689
20 , 0.01 , 5 , 0.9162 , 0:12:24.621498 , 2018-03-19 20:07:23.317264 , 2018-03-19 20:19:47.938762
20 , 0.01 , 8 , 0.9185 , 0:17:59.527913 , 2018-03-19 20:19:50.226427 , 2018-03-19 20:37:49.754340
20 , 0.01 , 13 , 0.9334 , 0:31:30.703765 , 2018-03-19 20:37:52.124170 , 2018-03-19 21:09:22.827935
20 , 0.1 , 3 , 0.9155 , 0:07:27.130391 , 2018-03-19 21:09:25.198228 , 2018-03-19 21:16:52.328619
20 , 0.1 , 5 , 0.9263 , 0:12:20.999331 , 2018-03-19 21:16:54.617530 , 2018-03-19 21:29:15.616861
20 , 0.1 , 8 , 0.9344 , 0:19:51.232778 , 2018-03-19 21:29:17.982880 , 2018-03-19 21:49:09.215658
20 , 0.1 , 13 , 0.9324 , 0:30:07.130470 , 2018-03-19 21:49:11.551745 , 2018-03-19 22:19:18.682215
50 , 0.001 , 3 , 0.8849 , 0:09:57.808491 , 2018-03-19 22:19:21.056682 , 2018-03-19 22:29:18.865173
50 , 0.001 , 5 , 0.8976 , 0:16:25.095173 , 2018-03-19 22:29:21.197741 , 2018-03-19 22:45:46.292914
50 , 0.001 , 8 , 0.9112 , 0:26:06.362223 , 2018-03-19 22:45:48.626862 , 2018-03-19 23:11:54.989085
50 , 0.001 , 13 , 0.9219 , 0:42:35.946199 , 2018-03-19 23:11:57.358702 , 2018-03-19 23:54:33.304901
50 , 0.01 , 3 , 0.9333 , 0:10:00.183750 , 2018-03-19 23:54:35.553746 , 2018-03-20 00:04:35.737496
50 , 0.01 , 5 , 0.9439 , 0:16:27.164712 , 2018-03-20 00:04:38.065230 , 2018-03-20 00:21:05.229942
50 , 0.01 , 8 , 0.9492 , 0:24:41.576636 , 2018-03-20 00:21:07.600367 , 2018-03-20 00:45:49.177003
50 , 0.01 , 13 , 0.9557 , 0:36:34.551886 , 2018-03-20 00:45:51.464905 , 2018-03-20 01:22:26.016791
50 , 0.1 , 3 , 0.9519 , 0:10:12.209736 , 2018-03-20 01:22:28.343800 , 2018-03-20 01:32:40.553536
50 , 0.1 , 5 , 0.9486 , 0:16:28.986869 , 2018-03-20 01:32:42.925041 , 2018-03-20 01:49:11.911910
50 , 0.1 , 8 , 0.9538 , 0:25:46.227770 , 2018-03-20 01:49:14.325198 , 2018-03-20 02:15:00.552968
50 , 0.1 , 13 , 0.9542 , 0:42:26.777632 , 2018-03-20 02:15:03.055549 , 2018-03-20 02:57:29.833181
100 , 0.001 , 3 , 0.8839 , 0:13:54.815556 , 2018-03-20 02:57:32.163317 , 2018-03-20 03:11:26.978873
100 , 0.001 , 5 , 0.8983 , 0:22:45.428014 , 2018-03-20 03:11:29.230006 , 2018-03-20 03:34:14.658020
100 , 0.001 , 8 , 0.9141 , 0:36:42.216801 , 2018-03-20 03:34:17.031020 , 2018-03-20 04:10:59.247821
100 , 0.001 , 13 , 0.9241 , 0:58:58.379679 , 2018-03-20 04:11:01.663925 , 2018-03-20 05:10:00.043604
100 , 0.01 , 3 , 0.9388 , 0:13:56.332218 , 2018-03-20 05:10:02.487433 , 2018-03-20 05:23:58.819651
100 , 0.01 , 5 , 0.9523 , 0:22:42.463514 , 2018-03-20 05:24:01.110469 , 2018-03-20 05:46:43.573983
100 , 0.01 , 8 , 0.9602 , 0:36:22.476333 , 2018-03-20 05:46:45.943391 , 2018-03-20 06:23:08.419724
100 , 0.01 , 13 , 0.9674 , 0:58:49.360202 , 2018-03-20 06:23:10.748271 , 2018-03-20 07:22:00.108473
100 , 0.1 , 3 , 0.9619 , 0:14:00.606846 , 2018-03-20 07:22:02.519510 , 2018-03-20 07:36:03.126356
100 , 0.1 , 5 , 0.9668 , 0:22:56.359691 , 2018-03-20 07:36:05.499522 , 2018-03-20 07:59:01.859213
100 , 0.1 , 8 , 0.9668 , 0:36:11.286320 , 2018-03-20 07:59:04.269123 , 2018-03-20 08:35:15.555443
100 , 0.1 , 13 , 0.9641 , 0:57:38.446256 , 2018-03-20 08:35:17.929918 , 2018-03-20 09:32:56.376174
5 , 0.001 , 3 , 0.3824 , 0:06:14.169017 , 2018-03-20 09:32:58.666789 , 2018-03-20 09:39:12.835806
5 , 0.001 , 5 , 0.4726 , 0:10:22.618560 , 2018-03-20 09:39:15.206480 , 2018-03-20 09:49:37.825040
5 , 0.001 , 8 , 0.4593 , 0:16:06.463518 , 2018-03-20 09:49:40.152506 , 2018-03-20 10:05:46.616024
5 , 0.001 , 13 , 0.5523 , 0:25:45.465396 , 2018-03-20 10:05:48.949961 , 2018-03-20 10:31:34.415357
5 , 0.01 , 3 , 0.6203 , 0:06:17.661497 , 2018-03-20 10:31:36.749233 , 2018-03-20 10:37:54.410730
5 , 0.01 , 5 , 0.7423 , 0:10:03.521594 , 2018-03-20 10:37:56.822171 , 2018-03-20 10:48:00.343765
5 , 0.01 , 8 , 0.5622 , 0:16:14.750690 , 2018-03-20 10:48:02.841260 , 2018-03-20 11:04:17.591950
5 , 0.01 , 13 , 0.7708 , 0:24:33.839913 , 2018-03-20 11:04:19.920982 , 2018-03-20 11:28:53.760895
5 , 0.1 , 3 , 0.7343 , 0:06:14.301310 , 2018-03-20 11:28:56.169267 , 2018-03-20 11:35:10.470577
5 , 0.1 , 5 , 0.6923 , 0:10:02.912149 , 2018-03-20 11:35:12.846758 , 2018-03-20 11:45:15.758907
5 , 0.1 , 8 , 0.8154 , 0:16:17.492469 , 2018-03-20 11:45:18.132492 , 2018-03-20 12:01:35.624961
5 , 0.1 , 13 , 0.7769 , 0:26:11.567208 , 2018-03-20 12:01:37.954827 , 2018-03-20 12:27:49.522035
10 , 0.001 , 3 , 0.6504 , 0:06:42.238714 , 2018-03-20 12:27:51.813496 , 2018-03-20 12:34:34.052210
10 , 0.001 , 5 , 0.7322 , 0:10:43.991115 , 2018-03-20 12:34:36.386375 , 2018-03-20 12:45:20.377490
10 , 0.001 , 8 , 0.8205 , 0:17:08.950912 , 2018-03-20 12:45:22.709969 , 2018-03-20 13:02:31.660881
10 , 0.001 , 13 , 0.8582 , 0:25:47.033493 , 2018-03-20 13:02:34.116791 , 2018-03-20 13:28:21.150284
10 , 0.01 , 3 , 0.8008 , 0:06:38.032570 , 2018-03-20 13:28:23.437313 , 2018-03-20 13:35:01.469883
10 , 0.01 , 5 , 0.8708 , 0:10:57.931292 , 2018-03-20 13:35:03.907306 , 2018-03-20 13:46:01.838598
10 , 0.01 , 8 , 0.8467 , 0:16:56.362866 , 2018-03-20 13:46:04.172331 , 2018-03-20 14:03:00.535197
10 , 0.01 , 13 , 0.9035 , 0:27:39.249986 , 2018-03-20 14:03:02.932407 , 2018-03-20 14:30:42.182393
10 , 0.1 , 3 , 0.8924 , 0:06:34.922239 , 2018-03-20 14:30:44.511108 , 2018-03-20 14:37:19.433347
10 , 0.1 , 5 , 0.8817 , 0:11:01.515538 , 2018-03-20 14:37:21.761273 , 2018-03-20 14:48:23.276811
10 , 0.1 , 8 , 0.8947 , 0:18:15.783440 , 2018-03-20 14:48:25.521432 , 2018-03-20 15:06:41.304872
10 , 0.1 , 13 , 0.8928 , 0:26:35.569304 , 2018-03-20 15:06:43.602693 , 2018-03-20 15:33:19.171997
20 , 0.001 , 3 , 0.7965 , 0:07:31.852767 , 2018-03-20 15:33:21.422213 , 2018-03-20 15:40:53.274980
20 , 0.001 , 5 , 0.8808 , 0:12:05.046590 , 2018-03-20 15:40:55.524837 , 2018-03-20 15:53:00.571427
20 , 0.001 , 8 , 0.8978 , 0:19:09.340624 , 2018-03-20 15:53:03.015402 , 2018-03-20 16:12:12.356026
20 , 0.001 , 13 , 0.9079 , 0:30:55.571459 , 2018-03-20 16:12:14.730635 , 2018-03-20 16:43:10.302094
20 , 0.01 , 3 , 0.9162 , 0:07:23.937579 , 2018-03-20 16:43:12.629675 , 2018-03-20 16:50:36.567254
20 , 0.01 , 5 , 0.9252 , 0:12:18.438924 , 2018-03-20 16:50:38.897806 , 2018-03-20 17:02:57.336730
20 , 0.01 , 8 , 0.9219 , 0:17:37.904445 , 2018-03-20 17:02:59.705603 , 2018-03-20 17:20:37.610048
20 , 0.01 , 13 , 0.9327 , 0:33:17.659419 , 2018-03-20 17:20:39.857979 , 2018-03-20 17:53:57.517398
20 , 0.1 , 3 , 0.9232 , 0:07:24.255802 , 2018-03-20 17:53:59.809045 , 2018-03-20 18:01:24.064847
20 , 0.1 , 5 , 0.9252 , 0:12:46.461554 , 2018-03-20 18:01:26.477550 , 2018-03-20 18:14:12.939104
20 , 0.1 , 8 , 0.9284 , 0:20:14.361851 , 2018-03-20 18:14:15.311089 , 2018-03-20 18:34:29.672940
20 , 0.1 , 13 , 0.9285 , 0:31:27.829072 , 2018-03-20 18:34:32.085605 , 2018-03-20 19:05:59.914677
50 , 0.001 , 3 , 0.8807 , 0:08:26.702179 , 2018-03-20 19:06:02.498439 , 2018-03-20 19:14:29.200618
50 , 0.001 , 5 , 0.8964 , 0:16:35.192512 , 2018-03-20 19:14:31.575196 , 2018-03-20 19:31:06.767708
50 , 0.001 , 8 , 0.9118 , 0:26:35.838639 , 2018-03-20 19:31:09.181168 , 2018-03-20 19:57:45.019807
50 , 0.001 , 13 , 0.9199 , 0:42:25.851066 , 2018-03-20 19:57:47.345787 , 2018-03-20 20:40:13.196853
50 , 0.01 , 3 , 0.9345 , 0:10:12.871424 , 2018-03-20 20:40:15.568291 , 2018-03-20 20:50:28.439715
50 , 0.01 , 5 , 0.9445 , 0:14:54.004989 , 2018-03-20 20:50:30.806148 , 2018-03-20 21:05:24.811137
50 , 0.01 , 8 , 0.9504 , 0:26:23.536119 , 2018-03-20 21:05:27.224216 , 2018-03-20 21:31:50.760335
50 , 0.01 , 13 , 0.9589 , 0:40:55.181206 , 2018-03-20 21:31:53.095491 , 2018-03-20 22:12:48.276697
50 , 0.1 , 3 , 0.9572 , 0:10:01.833065 , 2018-03-20 22:12:50.647493 , 2018-03-20 22:22:52.480558
50 , 0.1 , 5 , 0.954 , 0:16:21.688580 , 2018-03-20 22:22:54.814261 , 2018-03-20 22:39:16.502841
50 , 0.1 , 8 , 0.9526 , 0:25:56.265570 , 2018-03-20 22:39:18.993071 , 2018-03-20 23:05:15.258641
50 , 0.1 , 13 , 0.9532 , 0:42:12.148028 , 2018-03-20 23:05:17.713000 , 2018-03-20 23:47:29.861028
100 , 0.001 , 3 , 0.8846 , 0:13:49.855007 , 2018-03-20 23:47:32.227475 , 2018-03-21 00:01:22.082482
100 , 0.001 , 5 , 0.901 , 0:22:48.645737 , 2018-03-21 00:01:24.451279 , 2018-03-21 00:24:13.097016
100 , 0.001 , 8 , 0.913 , 0:36:55.907041 , 2018-03-21 00:24:15.506149 , 2018-03-21 01:01:11.413190
100 , 0.001 , 13 , 0.9217 , 0:53:09.447429 , 2018-03-21 01:01:13.742038 , 2018-03-21 01:54:23.189467
100 , 0.01 , 3 , 0.9372 , 0:13:48.981666 , 2018-03-21 01:54:25.440400 , 2018-03-21 02:08:14.422066
100 , 0.01 , 5 , 0.9526 , 0:22:45.292844 , 2018-03-21 02:08:16.705942 , 2018-03-21 02:31:01.998786
100 , 0.01 , 8 , 0.9629 , 0:36:15.775785 , 2018-03-21 02:31:04.330692 , 2018-03-21 03:07:20.106477
100 , 0.01 , 13 , 0.9665 , 0:57:48.263925 , 2018-03-21 03:07:22.473859 , 2018-03-21 04:05:10.737784
100 , 0.1 , 3 , 0.9598 , 0:13:49.769820 , 2018-03-21 04:05:13.107014 , 2018-03-21 04:19:02.876834
100 , 0.1 , 5 , 0.9688 , 0:23:03.147392 , 2018-03-21 04:19:05.205458 , 2018-03-21 04:42:08.352850
100 , 0.1 , 8 , 0.9682 , 0:36:19.195945 , 2018-03-21 04:42:10.692655 , 2018-03-21 05:18:29.888600
100 , 0.1 , 13 , 0.9689 , 0:59:47.004174 , 2018-03-21 05:18:32.180932 , 2018-03-21 06:18:19.185106
5 , 0.001 , 3 , 0.4423 , 0:06:20.217016 , 2018-03-21 06:18:21.498258 , 2018-03-21 06:24:41.715274
5 , 0.001 , 5 , 0.5183 , 0:10:27.337674 , 2018-03-21 06:24:44.044546 , 2018-03-21 06:35:11.382220
