HNodes, LRate, Epochs, Error, Diff, STime, ETime
50, 0.1, 8, 0.9496, 205.761635s, 2018-03-14 23:34:13.526793 UTC, 2018-03-14 23:37:39.288428 UTC
50, 0.1, 13, 0.9516, 588.439243s, 2018-03-14 23:37:39.878802 UTC, 2018-03-14 23:47:28.318045 UTC
100, 1.0e-3, 3, 0.7985, 111.673801s, 2018-03-15 06:27:33.714636 UTC, 2018-03-15 06:29:25.388437 UTC
100, 1.0e-3, 5, 0.8367, 207.916572s, 2018-03-15 06:29:25.679479 UTC, 2018-03-15 06:32:53.596051 UTC
100, 1.0e-3, 8, 0.8663, 324.238664s, 2018-03-15 06:32:53.98945 UTC, 2018-03-15 06:38:18.228114 UTC
100, 1.0e-3, 13, 0.8921, 614.617075s, 2018-03-15 06:38:18.856905 UTC, 2018-03-15 06:48:33.47398 UTC
100, 1.0e-2, 3, 0.9171, 117.436336s, 2018-03-15 06:48:33.964539 UTC, 2018-03-15 06:50:31.400875 UTC
100, 1.0e-2, 5, 0.9279, 210.024515s, 2018-03-15 06:50:31.645926 UTC, 2018-03-15 06:54:01.670441 UTC
100, 1.0e-2, 8, 0.9361, 311.025187s, 2018-03-15 06:54:02.083274 UTC, 2018-03-15 06:59:13.108461 UTC
100, 1.0e-2, 13, 0.9451, 3093.751256s, 2018-03-15 06:59:13.769506 UTC, 2018-03-15 07:50:47.520762 UTC
100, 0.1, 3, 0.9462, 105.581784s, 2018-03-15 07:50:47.964031 UTC, 2018-03-15 07:52:33.545815 UTC
100, 0.1, 5, 0.9509, 886.127851s, 2018-03-15 07:52:33.742309 UTC, 2018-03-15 08:07:19.87016 UTC
100, 0.1, 8, 0.9563, 330.074062s, 2018-03-15 08:07:20.304913 UTC, 2018-03-15 08:12:50.378975 UTC
100, 0.1, 13, 0.9553, 565.174031s, 2018-03-15 08:12:50.923901 UTC, 2018-03-15 08:22:16.097932 UTC
------------------------------------------------------------------------------------------------------------------------------------------------
AWS T1-Micro
5, 1.0e-3, 3, 0.2431, 149.033855609s, 2018-03-28 06:02:19.357498242 UTC, 2018-03-28 06:04:48.391353851 UTC
5, 1.0e-3, 5, 0.4597, 246.483068117s, 2018-03-28 06:04:48.400225752 UTC, 2018-03-28 06:08:54.883293869 UTC
5, 1.0e-3, 8, 0.3819, 392.56153138s, 2018-03-28 06:08:54.892664469 UTC, 2018-03-28 06:15:27.454195849 UTC
5, 1.0e-3, 3, 0.2708, 149.620042839s, 2018-03-28 06:44:09.793144475 UTC, 2018-03-28 06:46:39.413187314 UTC
5, 1.0e-3, 5, 0.3764, 246.536823663s, 2018-03-28 06:46:39.425749282 UTC, 2018-03-28 06:50:45.962572945 UTC
5, 1.0e-3, 8, 0.3645, 392.661992314s, 2018-03-28 06:50:45.968328865 UTC, 2018-03-28 06:57:18.630321179 UTC
5, 1.0e-3, 13, 0.203, 635.073127642s, 2018-03-28 06:57:18.640531838 UTC, 2018-03-28 07:07:53.71365948 UTC
5, 1.0e-2, 3, 0.5875, 149.86265687s, 2018-03-28 07:07:53.723492988 UTC, 2018-03-28 07:10:23.586149858 UTC
5, 1.0e-2, 5, 0.493, 1343.514000468s, 2018-03-28 07:10:23.596163475 UTC, 2018-03-28 07:32:47.110163943 UTC
5, 1.0e-2, 8, 0.5661, 4068.193616056s, 2018-03-28 07:32:47.135867588 UTC, 2018-03-28 08:40:35.329483644 UTC
5, 1.0e-2, 13, 0.8186, 6646.276166836s, 2018-03-28 08:40:35.361602728 UTC, 2018-03-28 10:31:21.637769564 UTC
5, 0.1, 3, 0.5802, 1601.663429219s, 2018-03-28 10:31:21.662278094 UTC, 2018-03-28 10:58:03.325707313 UTC
5, 0.1, 5, 0.7342, 2615.072507346s, 2018-03-28 10:58:03.374902914 UTC, 2018-03-28 11:41:38.44741026 UTC
5, 0.1, 8, 0.6836, 4066.993965429s, 2018-03-28 11:41:38.468888807 UTC, 2018-03-28 12:49:25.462854236 UTC
5, 0.1, 13, 0.7743, 6648.686432882s, 2018-03-28 12:49:25.487302468 UTC, 2018-03-28 14:40:14.17373535 UTC
10, 1.0e-3, 3, 0.6004, 2533.184389524s, 2018-03-28 14:40:14.21295169 UTC, 2018-03-28 15:22:27.397341214 UTC
10, 1.0e-3, 5, 0.7284, 4108.51830915s, 2018-03-28 15:22:27.429978987 UTC, 2018-03-28 16:30:55.948288137 UTC
10, 1.0e-3, 8, 0.7157, 6677.086325681s, 2018-03-28 16:30:55.980861042 UTC, 2018-03-28 18:22:13.067186723 UTC
10, 1.0e-3, 13, 0.8708, 10637.334597145s, 2018-03-28 18:22:13.113276664 UTC, 2018-03-28 21:19:30.447873809 UTC
10, 1.0e-2, 3, 0.8804, 2540.597927365s, 2018-03-28 21:19:30.495317807 UTC, 2018-03-28 22:01:51.093245172 UTC
10, 1.0e-2, 5, 0.86, 3809.772591118s, 2018-03-28 22:01:51.122271932 UTC, 2018-03-28 23:05:20.89486305 UTC
10, 1.0e-2, 8, 0.9007, 6679.548950215s, 2018-03-28 23:05:20.93123686 UTC, 2018-03-29 00:56:40.480187075 UTC
10, 1.0e-2, 13, 0.9083, 10835.532671917s, 2018-03-29 00:56:40.516315271 UTC, 2018-03-29 03:57:16.048987188 UTC
10, 0.1, 3, 0.8782, 2538.928835151s, 2018-03-29 03:57:16.066282473 UTC, 2018-03-29 04:39:34.995117624 UTC
10, 0.1, 5, 0.9029, 4289.035630001s, 2018-03-29 04:39:35.031333298 UTC, 2018-03-29 05:51:04.066963299 UTC
10, 0.1, 8, 0.9008, 6716.41678331s, 2018-03-29 05:51:04.102889982 UTC, 2018-03-29 07:43:00.519673292 UTC
10, 0.1, 13, 0.9055, 10640.975496041s, 2018-03-29 07:43:00.555556035 UTC, 2018-03-29 10:40:21.531052076 UTC
